date,year,month,day,cluster_i,cluster_j,node_index
1997-07-01,1997,7,1,1,2,4
1997-07-02,1997,7,2,1,2,4
1997-07-03,1997,7,3,1,2,4
1997-07-04,1997,7,4,1,2,4
1997-07-05,1997,7,5,1,1,1
1997-07-06,1997,7,6,1,1,1
1997-07-07,1997,7,7,1,1,1
1997-07-08,1997,7,8,1,3,7
1997-07-09,1997,7,9,1,3,7
1997-07-10,1997,7,10,2,1,2
1997-07-11,1997,7,11,2,1,2
1997-07-12,1997,7,12,2,1,2
1997-07-13,1997,7,13,2,1,2
1997-07-14,1997,7,14,1,1,1
1997-07-15,1997,7,15,3,1,3
1997-07-16,1997,7,16,1,1,1
1997-07-17,1997,7,17,2,1,2
1997-07-18,1997,7,18,2,1,2
1997-07-19,1997,7,19,2,2,5
1997-07-20,1997,7,20,2,2,5
1997-07-21,1997,7,21,2,2,5
1997-07-22,1997,7,22,2,3,8
1997-07-23,1997,7,23,2,3,8
1997-07-24,1997,7,24,2,3,8
1997-07-25,1997,7,25,3,3,9
1997-07-26,1997,7,26,2,3,8
1997-07-27,1997,7,27,2,3,8
1997-07-28,1997,7,28,2,3,8
1997-07-29,1997,7,29,2,3,8
1997-07-30,1997,7,30,2,3,8
1997-07-31,1997,7,31,3,3,9
1997-08-01,1997,8,1,3,3,9
1997-08-02,1997,8,2,3,3,9
1997-08-03,1997,8,3,3,3,9
1997-08-04,1997,8,4,3,3,9
1997-08-05,1997,8,5,3,3,9
1997-08-06,1997,8,6,3,3,9
1997-08-07,1997,8,7,3,3,9
1997-08-08,1997,8,8,3,3,9
1997-08-09,1997,8,9,3,2,6
1997-08-10,1997,8,10,3,2,6
1997-08-11,1997,8,11,3,3,9
1997-08-12,1997,8,12,2,3,8
1997-08-13,1997,8,13,2,3,8
1997-08-14,1997,8,14,3,3,9
1997-08-15,1997,8,15,3,3,9
1997-08-16,1997,8,16,3,3,9
1997-08-17,1997,8,17,3,3,9
1997-08-18,1997,8,18,3,3,9
1997-08-19,1997,8,19,3,3,9
1997-08-20,1997,8,20,2,3,8
1997-08-21,1997,8,21,2,3,8
1997-08-22,1997,8,22,2,3,8
1997-08-23,1997,8,23,2,3,8
1997-08-24,1997,8,24,2,3,8
1997-08-25,1997,8,25,3,2,6
1997-08-26,1997,8,26,2,3,8
1997-08-27,1997,8,27,3,2,6
1997-08-28,1997,8,28,3,2,6
1997-08-29,1997,8,29,3,3,9
1997-08-30,1997,8,30,3,3,9
1997-08-31,1997,8,31,3,3,9
1998-06-01,1998,6,1,1,2,4
1998-06-02,1998,6,2,1,1,1
1998-06-03,1998,6,3,1,1,1
1998-06-04,1998,6,4,1,1,1
1998-06-05,1998,6,5,1,2,4
1998-06-06,1998,6,6,1,2,4
1998-06-07,1998,6,7,1,2,4
1998-06-08,1998,6,8,1,2,4
1998-06-09,1998,6,9,1,2,4
1998-06-10,1998,6,10,1,3,7
1998-06-11,1998,6,11,1,3,7
1998-06-12,1998,6,12,1,3,7
1998-06-13,1998,6,13,1,3,7
1998-06-14,1998,6,14,1,3,7
1998-06-15,1998,6,15,1,2,4
1998-06-16,1998,6,16,1,2,4
1998-06-17,1998,6,17,1,2,4
1998-06-18,1998,6,18,1,2,4
1998-06-19,1998,6,19,1,2,4
1998-06-20,1998,6,20,1,2,4
